sentence,word_pair,POS_word1,POS_word2
 מי שהקיץ הפך להיות ער,הקיץ:ער,OTHER,ADJECTIVE
יער הוא שטח המכוסה עצים וקרחת יער היא שטח ללא עצים,קרחת יער:יער,UNDEFINED,NOUN
פירושה של המילה הנה הוא לכאן,כאן:הנה,OTHER,OTHER
להשחיז היא פעולה המיועדת לשפר את התפקוד של מה שמיועדלחתוך (סכין).,להשחיז:לחתוך,VERB,NOUN
שרלטן הוא מי שמעמיד פני מומחה,שרלטן:מומחה,NOUN,ADJECTIVE
תדיר הוא מה שהשכיחות שלו גבוהה,תדיר:שכיחות,ADJECTIVE,NOUN
היקוות היא הצטברות של מים במקום מסוים,היקווּת:מים,UNDEFINED,NOUN
מרזב משמש כדי לנקז משהו,מרזב:לנקז,NOUN,VERB
תו הוא היחידה הבודדת הקטנה ביותר בסימפוניה,תו:סימפוניה,NOUN,NOUN
לגלען פירושו להוציא מפרי את הגלעין,לגלען:גלעין,VERB,NOUN
אם אדם מתמכר לדבר מסוים ניתן לומר שהדבר ממכר אותו,ממַכר:מתמכר,UNDEFINED,VERB
אדפ שפשט ידו ציפה לנדיבות מצד אדם אחר,פשט יד:נדיבות,PHRASE,NOUN
נחיל מורכב מהרבה בעלי כנף,נחיל:כנף,NOUN,NOUN
ישים הוא דבר מה שניתן ליישם אותו,ישים:ליישם,NOUN,VERB
דקיק זה דק מאוד,דק:דקיק.,ADJECTIVE,UNDEFINED
הרמת ידיים היא פעולה המבטאת כניעה,הרמת ידיים:כניעה,PHRASE,NOUN
עמדו על טיבו משמע חקרו והבינו את האופי שלו,אופי:עמדו על טיבו,NOUN,PHRASE
נדיר הוא שאינו תדיר,נדיר:תדיר,ADJECTIVE,ADJECTIVE
מי שבחר להעלים עין העמיד פנים שאינו רואה,להעלים עין:רואה,UNDEFINED,VERB
תערוכה מורכבת ממספר מוצגים,תערוכה:מוצג,NOUN,NOUN
מי שליבו נכמר הגיב בחיוב לפעולת התחינה,תחינה:ליבו נכמר,NOUN,PHRASE
שנאת חינם היא שנאה ללא סיבה מוצדקת,שנאה:שנאת חינם,NOUN,UNDEFINED
אם מישהו הטריף את דעתו של אחר זה אומר שהוא גרם לו לאבד את שפיותו,שפיותו:הטריף את דעתו,NOUN,PHRASE
כרה פירושו יצר בור,כרה:בור,OTHER,NOUN
חווק הוא חלק מכלי העוזר לטפס,חווק:לטפס,NOUN,VERB
מי שניחן הוא בעל סגולה כלשהי,ניחן:סגולה,NOUN,NOUN
חברבורה היא חלק מדבר בעל דפוס מנומר,מנומר:חברבורה,ADJECTIVE,NOUN
מי שאיכף (שם אוכף) הכין את הסוס כך שיהיה ניתן לרכוב עליו,איכף:לרכוב,NOUN,VERB
מסננת היא דבר שמאפשר מעבר של נוזל ,מסננת:נוזל,NOUN,NOUN
חמשיר הוא סוג של שיר קצר בעל חמש שורות,חמשיר:שיר,NOUN,NOUN
שניהם משמשים לאותה המטרה אך בעוד שגינה היא מלאכותית אחו הוא טבעי,גינה:אחו,NOUN,NOUN
בכור הוא הצאצא הראשון,בכור:צאצא,UNDEFINED,NOUN
רוכסן הוא מנגנון המשמש לסגירת תיק,רוכסן:תיק,NOUN,NOUN
מכשור הוא שם כולל לקבוצה של מכשירים,מכשור:מכשיר.,NOUN,NOUN
אדם כבד פה מתאפיין בחוסר רהיטות,כבד פה:רהיטות,PHRASE,NOUN
לנגוח היא הפעולה באמצעותה פר יכול לפגוע,פר:לנגוח,NOUN,VERB
תפקיד המקרר הוא לשמור על דבר מה טרי,מקרר:טרי,NOUN,ADJECTIVE
המצאות של איש במקום כלשהו הופכת אותו למאויש,מאויש:איש,ADJECTIVE,NOUN
אם אני מסתייע במישהו אחר אז הוא עוזר לי,מסתייע:עוזר,VERB,VERB
מי שהלם הוא מי שהקיש בחוזקה,הקיש:הלם,VERB,VERB
אם דבר מה הורד אז כדי להחזירו למצב הקודם מישהו העלה אותו,הורד:העלה,VERB,VERB
אם אדם זנח אדם שני אז האדם השני ננטש,זנח:ננטש,VERB,VERB
הלחיץ הוא מי שגרם לאדם אחר להילחץ וכתוצאה מכך הוא הזיע (ההזעה היא תוצר לוואי של הלחץ),הלחיץ:הזיע,UNDEFINED,VERB
מי שהתגרה ציפה לתגובה ומי שהבליג הוא מי שלא הגיב,התגרה:הבליג,VERB,VERB
"כששואלים מישהו: ""הבנת?"" רוצים לדעת האם הוא הבין דבר מה",הבנת?:הבין,NOUN,VERB
גילח למשעי זה גילח עד שלא נותר מה לגלח,גילח למשעי:גילח,PHRASE,VERB
אימפולסיבי הוא מי שפועל מתוך דחף,דחף:אימפולסיבי,NOUN,NOUN
עקב אכילס הוא ביטוי שמשמעותו נקודת חולשה,עקב אכילס:חולשה,PHRASE,NOUN
לחיצת יד היא דבר שנהוג לעשות כאשר רוצים להתוודע למישהו,להתוודע:לחיצת יד,VERB,PHRASE
הבהוב הוא הופעה לסירוגין של אור,הבהוב:אור,NOUN,NOUN
כיכר (לחם) הינה חתיכה שלמה של לחם,לחם:כיכר,NOUN,NOUN
מחשבון הוא מכשיר שבעזרתו ניתן לבצע בקלות חישוב,מחשבון:חישוב,NOUN,NOUN
באתר ארכיאולוגי מחפשים עתיקות,עתיקות:אתר ארכאולוגי,NOUN,UNDEFINED
לקושש זה לאסוף זרדים,זרדים:לקושש,NOUN,UNDEFINED
טף הוא מכלול העוללים,עולל:טף,NOUN,NOUN
גירד פירושו העביר את הציפורן שלו על גבי משטח,גירד:ציפורן,VERB,NOUN
בן-אלמוות הוא מי שלא יכול להיות מת,בן-אלמוות:מת,UNDEFINED,ADJECTIVE
מתפכח הוא מי שמפסיק להיות מבוסם,מתפכח:מבוסם,VERB,NOUN
במזקקה מייצרים דבר מה שלאחר מכן ניתן ליהנות ממנו במסבאה,מזקקה:מסבאה,NOUN,NOUN
לטוות זה ליצור חוטים בהם משתמשים כדי לתפור,לטוות:לתפור,VERB,VERB
תסמין הוא ביטוי אחד של תסמונת כלשהי,תסמין:תסמונת,NOUN,NOUN
נשבע הוא מי שאדם אחר השביע אותו,השביע:נשבע,VERB,VERB
חותה הוא מי שמזיז (או מפנה) גחלים,חותה:גחלים,VERB,NOUN
הסתרק הוא מי שסירק את עצמו,הסתרק:סירק,VERB,VERB
גרשיים בנויים משתי יחידות הנקראות גרש,גרש:גרשיים,NOUN,NOUN
להעליב פירושו לגרום למישהו להיעלב,להעליב:להיעלב,VERB,VERB
מוטב לכייל (לכוון מכשיר מדידה כך שמדידותיו יהיו מדויקות יותר) דבר מה לפני שמתחילים למדוד באמצעותו,לכייל:למדוד,VERB,VERB
מחבוא הוא מקום שבו אדם הסתתר,מחבוא:הסתתר,NOUN,VERB
מי שדיבר בעוצמה צעק,דיבר:צעק,VERB,VERB
נקרש הוא מה שהיה נוזל והפך למוצק,נקרש:נוזל,VERB,ADJECTIVE
פיר הוא החלל שדרכו המעלית נעה ממקום למקום,פיר:מעלית,NOUN,NOUN
הרווק מפסיק להיות כזה לאחר חתונה,רווק:חתונה,NOUN,NOUN
תחנת דלק היא מקום שאפשר לקנות בו דלק,דלק:תחנת דלק,NOUN,PHRASE
פרס פירושו חתך דבר מה לפרוסות,חתך:פרס,VERB,NOUN
לחם הוא מאכל העשוי מקמח,לחם:קמח,UNDEFINED,NOUN
אם מישהו הפתיע משמעות הדבר כי מישהו אחר הופתע,הפתיע:הופתע.,VERB,UNDEFINED
מי שהודיע העביר מידע ממקור כלשהו ליעד,הודיע:מידע,VERB,NOUN
מיגר פירושו החליש עד להפסקה מוחלטת של הדבר,החליש:מיגר,VERB,VERB
להתחבק זו פעולה הדדית שבה אדם חיבק אדם אחר ואותו אדם חיבק אותו בחזרה,להתחבק:חיבק,VERB,VERB
לחם עשוי מבצק שעשוי מחיטה,לחם:חיטה,UNDEFINED,NOUN
אזלת יד היא חוסר יכולת,אָזלת יד:יכולת,PHRASE,NOUN
תם הוא מה שאחר כילה אותה ,כילה:תם,VERB,ADJECTIVE
דירה היא מקום המגורים של האדם דיר הוא מקום המגורים של חיות המשק,דירה:דיר,NOUN,NOUN
העצם המוצב על הפמוט (נר) מפיץ נגה (אור),פמוט:נֹגה,NOUN,UNDEFINED
אובייקט מהביל הוא אובייקט הפולט אדים,אדים:מהביל,NOUN,NOUN
עיר נמל היא עיר אשר יש בה נמל,נמל:עיר נמל,NOUN,UNDEFINED
אוושה היא רעש קל,אִוושה:רעש,UNDEFINED,NOUN
מי שהערים על מישהו גרם לכך שמישהו הולך שולל,הערים:הולך שולל,VERB,PHRASE
שם הפועל לצותת פירושו שמישהו הקשיב לאחר ללא רשות,לצותת:הקשיב,VERB,VERB
מי שביצע פעולה של לשיר חזק יתר על המידה עשוי להצטרד,לשיר:להצטרד,NOUN,VERB
מכמורת (רשת) היא כלי המשמש לדיג,מכמורת:דיג,NOUN,NOUN
"הביטוי ""לא דובים ולא יער"" מטרתו לא לאשר דבר מסויים",לא דובים ולא יער:לאשר,PHRASE,VERB
עלווה היא כלל העלים המכסים עץ או שיח מסוים,עלה:עלווה,UNDEFINED,NOUN
קהל מורכב מאנשים,קהל:איש,NOUN,UNDEFINED
מהוה הוא מי שעבר שחיקה,שחיקה:מָהוּהַּ,NOUN,UNDEFINED
פיהוק הוא סממן גופני שמצביע על עייפות,פיהוק:עייפות,NOUN,NOUN
אט פירושו באיטיות,אט:אִטיוּת,NOUN,UNDEFINED
נבוב הוא דבר שאין בו תוכן,נבוב:תוכן,ADJECTIVE,VERB
קל לבטוח במשהו אמין,לבטוח:אמין,VERB,ADJECTIVE
משמעות הצירוף כל כולו היא כולו באופן מוחלט,כל כולו:כולו,PHRASE,NOUN
אם מישהו דלק אחרי מישהו והצליח הוא תפס אותו,דלק:תפס,VERB,VERB
מומר הוא מי שעבר מדת אחת לאחרת,מורמר:דת,UNDEFINED,NOUN
ברפת מגדלים פרה אשר ממנה ניתן להפיק חלק שממנו ניתן לייצר גבינה,רפת:גבינה,NOUN,NOUN
אקראי הוא תיאור לדבר שאין לו חוקיות,אקראי:חוקיות,NOUN,NOUN
.נזיפות הן הערות שנאמרות למישהו על מנת להוכיח אותו על מעשיו,נזיפות:להוכיח,NOUN,VERB
בין תמימי דעים אין מחלוקת,תמימי דעים:מחלוקת,PHRASE,NOUN
מי שקיבע דבר מה הפך אותו ליציב,יציב:קיבע,ADJECTIVE,VERB
מרבד זה שטיח שמכסה את הרצפה,מרבד:רצפה,NOUN,NOUN
כורם הוא מי שעובד בכרם ומטפל בענבים ויקב הוא המקום שבו מייצרים יין מענבים,כורם:יקב,NOUN,NOUN
בחפץ לב פירושו להסכים בשמחה כלומר ההפך מלסרב למשהו,בחפץ לב:לסרב,PHRASE,VERB
מי שהדיח אדם אחר למעשה הוביל באופן ישיר לכך שאותו אדם חטא,חָטָא:הדיח,UNDEFINED,VERB
התחוור פירושו נהיה ברור,התחוור:ברור,VERB,ADJECTIVE
באמצעות מכמורת ניתן ללכוד דגים רבים ובאצמעות חכה ניתן ללכוד דג אחד,מכמורת:חכה,NOUN,NOUN
מכונאי מטפל ברכב בו משתמש הנהג,מכונאי:נהג,NOUN,NOUN
אופה הוא מי שמייצר דבר שניתן לאכילה,אופה:אכילה,NOUN,NOUN
הנני זו מילה שנועדה להפגין נוכחות,הנני:נוכחות,OTHER,NOUN
כשדבר מה נמכר הבעלים שלו מתחלפים,נמכר:בעלים,VERB,NOUN
מי שיזרה מלח על הפצעים יגביר את הכאב (זרה מלח על הפצעים - הוסיף יגון על מכאוב),כְּאֵב:יזרה מלח על הפצעים,UNDEFINED,PHRASE
מי שהתגושש השתתף בהתגוששות עם מישהו אחר,התגושש:התגוששות,OTHER,NOUN
קמוץ הוא משהו שמסרב להיפתח,קמוץ:להיפתח,NOUN,VERB
לדבר היא פעולה שמורכבת מהגאים,לדבר:הגאים,UNDEFINED,UNDEFINED
אדם כבש את יצרו עשה זאת במטרה שלא להתפתות,כבש את יצרו:להתפתות,PHRASE,VERB
לח הוא תיאור לדבר רטוב במקצת,לח:רטוב,NOUN,ADJECTIVE
מי שהתילד העמיד פנים שהוא ההפך ממבוגר כלומר ילד,התיילד:מבוגר,UNDEFINED,NOUN
קשור הוא מי שיש לו זיקה למשהו או למישהו,קשור:זיקה,ADJECTIVE,NOUN
הקשה הוא מי ששאל שאלה אדם אחר כלומר גרם לכך שאותו אדם נשאל,הִקשה:נשאל,UNDEFINED,VERB
אבוס הוא המתקן ממנו אוכלים בעלי חיים כפי שצלחת היא המתקן ממנו אוכלים בני אדם,אבוס:צלחת,NOUN,NOUN
נטוש הוא דבר מה שהזולת עזב אותו,נטוש:עזב,VERB,VERB
ניווט נעשה באמצעות מפה,מפה:ניווט,NOUN,NOUN
משמעות המילה אל נכון היא ללא ספק,אל נכון:ספק,PHRASE,NOUN
לרדות היא פעולת הוצאת הדבש מהכוורת,לרדות:כוורת,VERB,NOUN
מקושת הוא מה שיש לו צורה של קשת,מקושת:קשת,NOUN,NOUN
קרב אגרוף הוא תגרה מאורגנת,קרב אגרוף:תגרה,UNDEFINED,NOUN
"מי שחווה מורת רוח יקרא ""אוף!""","מורת רוח:""אוף!""",PHRASE,NOUN
קטנוע היא סוג של אופניים ממונעים,קטנוע:אופניים,NOUN,NOUN
אדם א' דובב את אדם ב' כך שאדם ב' כבר לא שתק,דובב:שתק,VERB,VERB
מגבת גורמת לאדם להפסיק להיות רטוב,מגבת:רטוב,NOUN,ADJECTIVE
מי שהתבודד בחר לחיות בבדידות ומי שנידה גרם לאחר לחיות בבדידות,התבודד:נידה,VERB,VERB
מי שעמד בדיבורו קיים את מה שהבטיח,עמד בדיבורו:הבטיח,PHRASE,VERB
אדם שמִסמר השתמש במַסמר כדי לקבע עצם אחר ,מִסמר:מַסמר,NOUN,NOUN
בהחלט פירושו ללא ספק,בהחלט:ספק,OTHER,NOUN
ענבל הוא חלק מהפעמון,פעמון:ענבל,NOUN,NOUN
דבר מה אשר הוכשל משמע אדם מסוים הכשיל אותו כלומר אותו אדם גרם לו להגיע למצב בו הוא נכשל,נכשל:הוכשל,VERB,VERB
מהמורה היא שיבוש בדרך שמפריע לשימוש בה,דרך:מהמורה,NOUN,UNDEFINED
אדם שפענח תעלומה הביא לפתרונה וכעת אינה בגדר תעלומה,פִּענח:תעלומה,UNDEFINED,NOUN
מי שחרש ביצע פעולת הכנה לפעולה שניצע כאשר זרע,חָרש:זָרע,UNDEFINED,UNDEFINED
יד רוחצת יד מתארת מצב של החלפת טובות הנאה בין שני גורמים,יד רוחצת יד:טובות הנאה,UNDEFINED,UNDEFINED
שביר הא מה שייתכן שמישהו שבר,שָׁבַר:שביר,UNDEFINED,ADJECTIVE
אורג הוא מי שעושה שימוש בנול כדי ליצור דבר מה (בדים),אורג:נול,NOUN,NOUN
אספלנית (פלסטר) משמשת לחבישה,אספלנית:חבישה,NOUN,NOUN
אדם שחנן אדם אחר העניק לו חנינה,חנן:חנינה,VERB,NOUN
משולח רסן הוא אדם חסר מעצורים כלומר שקשה לרסן אותו,משולח רסן:לרסן,PHRASE,VERB
דבר שהתחוור כבר אינו סתום,התחוור:סתום,VERB,ADJECTIVE
לכפתורים יש אותו שימוש כמו לרוכסן (אך אין מדובר באותו דבר),כפתורים:רוכסן,NOUN,NOUN
מי שערג לדבר מה חש כיסופים,ערג:כיסופים,VERB,NOUN
קצרצר פירושו קצר מאוד,קצר:קצרצר,OTHER,NOUN
הס היא קריאה שמטרתה לגרום לאחר להיות שותק,שותק:הס,VERB,NOUN
הדרים היא סוג של פרי מקבוצת ההדרים,הדרים:אשכולית,NOUN,UNDEFINED
מחצבה היא מקום בו חוצבים את האבנים שבעתיד ישמשו לבניית בניין,מחצבה:בניין,NOUN,NOUN
להירדם זה להיכנס למצב מסוים (שינה) להעיר זו הפעולה שעושה אדם אחר כדי לשנות את המצב,להעיר:להירדם,VERB,VERB
להכחיש פירושו לטעון שדבר מה הוא שקרי,להכחיש:שקרי,VERB,ADJECTIVE
לפורר פירושו להפוך משהו לפירורים,לפורר:פירורים,VERB,NOUN
מי שבגפו (לבדו) אין עמו אף אחד,בגפו:עִם,NOUN,UNDEFINED
להקשות פירושו יצירת קושייה ,להקשות:קושיה,VERB,UNDEFINED
מי שהאשים טען שאדם אחר אשם,האשים:אשֵם.,VERB,UNDEFINED
רפרפת (פודינג) היא סוג של קינוח,רפרפת:קינוח,NOUN,NOUN
ניתן לסחוט בעזרת איומים,לסחוט:איומים,VERB,NOUN
לאדם חמוש יש נשק,חמוש:נשק,ADJECTIVE,NOUN
קטנטן הוא משהו קטן מאוד,קטן:קטנטן,ADJECTIVE,ADJECTIVE
עת היא מילה המציינת תקופה מסוימת עתה היא התקופה שבה אנו נמצאים בהווה,עת:עתה,OTHER,OTHER
בן בליעל הוא סוג של רע של בן אדם,בן אדם:בן בליעל,UNDEFINED,UNDEFINED
מי שמרפד משהו הופך את הישיבה עליו לנוחה יותר,מרפד:ישיבה,VERB,NOUN
מחלפות הן שיערות אסופות יחד שניתן לגזור באמצעות מספריים,מחלפות:מספריים,NOUN,NOUN
שמלה היא פריט המאוחסן בארון בגדים,ארון בגדים:שמלה,PHRASE,NOUN
פורר פירושו הפך גורם שלם למספר פירורים,פורר:פירור,VERB,NOUN
נפוץ מתאר משהו שהשכיחות שלו רבה,נפוץ:שכיחות,ADJECTIVE,NOUN
מאפייה היא מקום שהפעולה שנעשית בו היא לאפות,לאפות:מאפייה,VERB,NOUN
התגורר פירושו השתמש במשהו שמישהו בנה,התגורר:בנה,VERB,VERB
ללחלח זה להרטיב בקלות,ללחלח:להרטיב,VERB,VERB
אמת מים נועדה כדי להוביל מים,אמת מים:מים,UNDEFINED,NOUN
המשקה נמזג בכוונה ונשפך בטעות,נמזג:נשפך,VERB,VERB
אטלס הינו ספר המאגד ומציג מפות,אטלס:מפות,NOUN,NOUN
לטעום היא פעולה הנעשית לשם בירור טעם ,טעם:לטעום,NOUN,VERB
מסמר שער משמעו מעורר תחושת חלחלה,מסמר שער:חלחלה,PHRASE,NOUN
אדם חמקמק הוא אדם שקשה לתפוס אותו,חמקמק:לתפוס,ADJECTIVE,VERB
חשוך מצרים הוא חושך מוחלט,חושך מצרים:חושך,PHRASE,NOUN
עטוף הוא מישהו שדבר מה אחר אופף אותו,עטוף:אופף,ADJECTIVE,VERB
להלשין פירושו לדווח על משהו בהקשר שלילי,להלשין:לדווח,VERB,VERB
מה שפושה נמצא בתהליך של התפשטות,פושה:התפשטות,NOUN,NOUN
 בעתה היא פחד עז,בעתה:פחד,NOUN,NOUN
ארון בגדים הוא המקום שבו מאחסנים בגד שלא נמצא בשימוש כרגע,ארון בגדים:בגד,PHRASE,NOUN
מתרגם הוא מקצועו של אדם אשר מחליף טקסט משפה אחת לשפה אחרת,מתרגם:שפה,NOUN,NOUN
מי שערבב יצר תערובת,עִרבב:תערובת,UNDEFINED,NOUN
עקבות הן תוצר לוואי של צעידה,עקבות:צעידה,NOUN,NOUN
מכולה היא כלי קיבול גדול בהשוואה למזוודה,מכולה:מזוודה,NOUN,NOUN
דקיק הוא דבר דק מאוד עבה הוא ההפך מדק,דקיק:עבה,ADJECTIVE,ADJECTIVE
אדם לקוני (תמציתי) הוא כזה שאינו נוהג להכביר במילים,לקוני:להכביר מילים,UNDEFINED,PHRASE
אסטרונאוט הוא מי שחי בחללית בתקופת עבודתו,אסטרונאוט:חללית,NOUN,NOUN
.לפרז זה ליצור אזור שאין בו דברים (כלי נשק) כדוגמת תותח,לפרז:תותח,NOUN,NOUN
מי שפרש הפסיק להשתייך,פרש:להשתייך,VERB,VERB
דבר שנעשה בנקל הוא דבר שנעשה ללא קושי,בנקל:קושי,NOUN,NOUN
כיזב הוא מי שאמר שקר,כיזב:שקר,NOUN,NOUN
נחמה פורתא (נחמה כלשהי עידוד-מה) היא ניסיון לפתור מצב של מגינת לב (עוגמת נפש צער עמוק) אך זהו עידוד קלוש ולא מספיק כדי לפתור את המצב,מגינת לב:נחמה פורתא,PHRASE,PHRASE
למחוק פירושו לבצע פעולה אשר מבטלת את מה שנכתב כלומר פעולה הפוכה ללכתוב,לכתוב:למחוק,VERB,VERB
חורף הוא עונה,עונה:חורף,NOUN,NOUN
מי שתיבל הוסיף תבלינים למאכל כלשהו. פפריקה היא סוג של תבלין,תיבל:פפריקה,VERB,NOUN
דבר נפתל הוא דבר שאינו ישר (שיש בו פיתולים),נפתל:ישר,ADJECTIVE,ADJECTIVE
כדי לעשות שימוש באופניים יש לדווש,אופניים:לדווש,NOUN,VERB
עגלון הוא מי שנוהג בעגלה,עגלון:עגלה,NOUN,NOUN
דבר רב-משמעי הוא דבר שניתן לפרש אותו בכמה דרכים,רב-משמעי:לפרש,NOUN,VERB
מזרק וכמוסה הם שני חפצים שונים המשמשים לביצוע אותה הפעולה (הכנסת תרופה לגוף),כמוסה:מזרק,NOUN,NOUN
לדווש זו פעולה שנעשית על הדוושה,לדווש:דוושה,VERB,NOUN
מגדל קלפים הוא כינוי לדבר שאינו יציב,מגדל קלפים:יציב,PHRASE,ADJECTIVE
יידע הוא מי שנתן לאחר מידע וכך הביא לזה שהוא יודע,יִדֵּעַ:יוֹדֵעַ,UNDEFINED,UNDEFINED
מי שקצרה ידו מהושיע לא עזר כי לא הייתה לו היכולת,קצרה ידו מהושיע:עזר,PHRASE,NOUN
את משמש לאותה הפעולה כמו דחפור אם כי האחרון גדול ומשוכלל יותר,את:דחפור,OTHER,NOUN
דבר רם הוא בגובה רב,רם:גובה,ADJECTIVE,NOUN
מגבת הופכת דבר מה להיפך מרטוב,מגבת:רטוב,NOUN,ADJECTIVE
מי שליהק בחר את השחקנים המתאימים,ליהק:שחקנים,VERB,NOUN
מסיק היא פעולת קטיפת הזיתים כדי להכין מהם שמן,למסוק:שמן,UNDEFINED,NOUN
יורה הוא הגשם הראשון ואילו מלקוש הוא הגשם האחרון,יורה:מלקוש,NOUN,NOUN
התפייס הוא מי שרב בעבר והפסיק,התפייס:רב,VERB,VERB
אם מישהו אומר שדבר מה פרח מזיכרונו זה בדיוק כאילו אמר שהוא שכח את הדבר הזה,פרח מזיכרונו:שכח.,PHRASE,UNDEFINED
אימא של אימא היא סבתא,אימא:סבתא,NOUN,NOUN
שזר פירושו אסף דברים לזר,זֵר:שָזַר,UNDEFINED,UNDEFINED
כאשר אדם הלבין פניו של אחר הוא הפך אותו לנכלם,הלבין פניו:נכלם,PHRASE,ADJECTIVE
.מי שארז מזוודה הכניס אליה דברים,מזוודה:ארז,NOUN,VERB
רפת היא מקום עבודתו של הרפתן,רפתן:רפת,NOUN,NOUN
התרוקנות היא איבוד התוכן,התרוקנות:תוכן,NOUN,NOUN
מי שהלשין למעשה דיווח על ביצוע מעשה רע,הלשין:דִּוַּח,VERB,UNDEFINED
בריכת שחייה היא מאגר מים מלאכותי‪ ‬ואילו אגם הוא מאגר מים טבעי‪.‬‬,בריכת שחייה:אגם,UNDEFINED,NOUN
ניתן לאפות לחם שממנו ניתן להכין כריך,לאפות:כריך,VERB,NOUN
מי שמשתוקק למשהו רוצה אותו מאוד,משתוקק:רוצה,VERB,VERB
ניתן לנקד עם חיריק,חיריק:לנקד,NOUN,VERB
בחינת דבר מסוים בשבע עיניים אומרת שבוחנים אותו בתשומת לב רבה,בשבע עיניים:תשומת לב,PHRASE,PHRASE
התעמעם הוא מה שפחתה בו מידת הבהירות,התעמעם:בהירות,VERB,NOUN
דבר מה אינסופי הוא דבר שאין לו גבול,אינסופי:גבול,ADJECTIVE,NOUN
דבר משובש הוא דבר שיש בו טעות,טעות:משובש,NOUN,ADJECTIVE
אהוב הוא מי שמישהו אחר אהב אותו,אהוב:אהב,ADJECTIVE,VERB
מישהי שעמדה מנגד היא מישהי שלא נתנה סיוע,עמדה מנגד:סיוע,UNDEFINED,NOUN
צלח פירושו עבר מגדה אחת לאחרת,צלח:גדה,ADJECTIVE,NOUN
אם דבר מה נשגב מבינתו זה אומר שהוא לא יכול להבין אותו,נשגב מבינתו:להבין,PHRASE,VERB
אורווה היא המבנה שבו מתגורר הסייח צאצא של הסוס,אורווה:סייח,NOUN,NOUN
בהול הוא דחוף מאוד,בהול:דחוף,UNDEFINED,OTHER
מקורו של חומר הגלם המשמש את הנגר הוא היער,נגר:יער,NOUN,NOUN
פזיז פירושו מהיר מדי,מהיר:פזיז,ADJECTIVE,ADJECTIVE
כמות רבה מדי של אור עשויה לגרום לסנוור,אור:סִנווּר,NOUN,UNDEFINED
בצר הוא מי שקטף ענבים שגדלים בכרם,בצר:כרם,UNDEFINED,NOUN
התכתבות היא החלפת מכתבים בין אנשים,התכתבות:מכתב,NOUN,NOUN
חמק הוא מי שמילט את עצמו,חמק:מילט,VERB,VERB
עורך דין מייצג לקוח,עורך דין:לקוח,PHRASE,NOUN
אמיר הוא החלק העליון של העץ,אמיר:עץ,NOUN,NOUN
סגפן הוא מי שמתנזר מהנאה,סגפן:הנאה,ADJECTIVE,UNDEFINED
ניצן מתפתח והופך לפרח,ניצן:פרח,NOUN,NOUN
לכונן זה לגרום למשהו להיווסד,לכונן:נוסד,VERB,UNDEFINED
אכיפת החוק היא פעולה שתפקידה למנוע עבריינות,אכיפת החוק:עבריינות,UNDEFINED,NOUN
אם אדם א' מעוניין להתנצל בפני אדם ב' אזי הוא מקווה למחילה,מחילה:להתנצל,NOUN,VERB
מבחינת סדר הימים שבת הוא יום מספר שבע,שבת:שֶׁבע,VERB,UNDEFINED
דבר שנשגב מבינתי הוא דבר שאין ביכולתי להבין,נשגב מבינתי:להבין,PHRASE,VERB
מי שמתאפיין במורך לב לא נוטה להעז,להעז:מורך לב,VERB,PHRASE
עלווה היא שם כולל לכלל העלה המכסים צמח מסויים למשל עץ,עלווה:עלה,NOUN,NOUN
.קל להבחין בדבר מה שמתנוסס,מתנוסס:להבחין,OTHER,VERB
להזמין היא פעולה שמטרתה לגרום לאחר להיות בא. לחילופין בא הוא מי שנעתר למי שפעולתו הייתה להזמין,להזמין:בא,VERB,VERB
דבר בלתי נסלח הוא דבר שלא ניתן למחול עליו,למחול:בלתי נסלח,VERB,PHRASE
