year,chapter,source,difficulty,base,base_description,option_1,option_1_desc,option_2,option_2_desc,option_3,option_3_desc,option_4,option_4_desc,correct_answer,vowelized,phrases
SP20,a,NITE,4,מסחָר:קנה,.מי שקנה סחורות השתתף במסחר,ריאיון:ענה,מי שענה תשובות השתתף בריאיון,תחרות:התאמן,מי שהתאמן רצה להיות מוכן לקראת תחרות,משחק:רימה,מי שרימה במשחק ניסה לנצח בו בדרך לא ישרה,כיווּן:פנה,מי שפנה הלך בכוון מסוים,1,0,0
SP20,a,NITE,5,תיבל:פפריקה,מי שתיבל הוסיף תבלינים למאכל כלשהו. פפריקה היא סוג של תבלין,ניקד:גימ״ל,"מי שניקד הוסיף סימן ניקוד לאות. גימ""ל היא אחת האותיות",מִסְפֵּר:מִסְפָּר ,מי שמספר סימן עצמים לפי מספרים מספר,ריהט:ספה,מי שריהט הוסיף רהיטים למקום כלשהו. ספה היא סוג של רהיט,טיגן:שמן,מי שטיגן בישל אוכל בשמן.,3,1,0
SP20,a,NITE,6,כורם:יקב,"כורם הוא מי שעובד בכרם ומטפל בענבים, ויקב הוא המקום שבו מייצרים יין מענבים",רועה:דיר,"רועה הוא מי שאחראי על הכבשים, ודיר הוא מבנה המיועד לכבשים",מוכר:מפעל,מוכר הוא מי שתפקידו למכור סחורות המיוצרות במפעל.,יוגב:שדה,יוגב הוא מי שעובד בשדה,כורה:מלטשה,"כורה הוא מי שעובד במכרה וכורה אבנים, ומלטשה היא המקום שבו מייצרים אבני חן מאבנים",4,0,0
SP20,b,NITE,1,אבן:יהלום,יהלום הוא סוג של אבן יקרה,נוזל:משקה,משקה הוא נוזל שהוכן לשתייה,צריף:ארמון,"ארמון הוא מבנה גדול ומפואר, וצריף הוא מבנה קטן",בד:משי,משי הוא סוג של בד יקר,מנה:קינוח,קינוח הוא המנה האחרונה בארוחה,3,0,0
SP20,b,NITE,2,אדריכל:לגור,אדריכל הוא בעל מקצוע שמתכנן מבנים שבהם ניתן לגור,תזונאי:לבשל,"תזונאי הוא בעל מקצוע שמתמחה בתזונה ובמזונות שונים, שאת חלקם יש לבשל",תסריטאי:לצפות,תסריטאי הוא בעל מקצוע שכותב תסריט לתכנית או לסרט שבהם ניתן לצפות,זבן:לקנות,זבן הוא בעל מקצוע שניתן לקנות ממנו סחורה,נגן:להאזין,נגן הוא בעל מקצוע שמנגן מנגינה שלה ניתן להאזין,2,0,0
SP20,b,NITE,3,פריעה:חוב,פריעה היא פעולה שמביאה לביטולו של חוב,אִיוּם:מורא,איום הוא הפחדה שיכולה לגרום לתחושת מורא,הַתרה:איסור,התרה היא פעולה שמביאה לביטולו של איסור,הכחשה:אמת,הכחשה היא הודעה שדבר איננו אמת,החרמה:נידוי,החרמה היא נידוי של מישהו מהקהילה,2,1,0
SP20,b,NITE,4,דָּלַק:הדביק,הדביק הוא מי שדלק אחרי מישהו והצליח להשיג את מטרתו,שינן:זכר,זכר הוא מי ששינן משהו והצליח להשיג את מטרתו.,לכלך:טינף,טינף הוא מי שלכלך מאוד,הנץ:פרח,פַרח הוא מי שהוציא פרחים לאחר שהנץ.,פשע:העניש,העניש הוא מי שהטיל עונש על אדם אחר שפשע,1,1,0
SP20,b,NITE,5,שיבח:גינה,מי ששיבח דבר כלשהו ביצע את הפעולה ההפוכה ממי שגינה,הפיס את דעתו:רגז,מי שהפיס את דעתו של אחר הוא מי שהרגיע אדם שרגז,נעתר:מיאן,מי שנעתר (הסכים) לדבר כלשהו ביצע את הפעולה ההפוכה ממי שמיאן (סירב),חירף את נפשו:הסתכן,"מי שחרף את נפשו הסתכן, ולעיתים סיכן את חייו",תכנן:סיכל,מי שתכנן הכין תוכנית פעולה ומי שסיכל הכשיל את ההצלחה של התוכנית,2,0,1
SP20,b,NITE,6,באר:שתייה,שתייה היא פעולה שניתן לבצע באמצעות המים ששואבים מהבאר,מחצבה:בנייה,בנייה היא פעולה שניתן לבצע באמצעות האבנים שחוצבים במחצבה,פרדס:קטיף,קטיף הוא פעולה שניתן לבצע על הפירות הבשלים של עצי הפרי שגדלים בפרדס,יער:נטיעה,נטיעה היא פעולה שניתן לבצע ביער,גבול:חצייה,חצייה היא פעולה של מעבר גבול.,1,0,0
WIN19,a,NITE,1,שאל:תשובה,מי ששאל שאלה רצה לקבל תשובה ממישהו אחר,בחר:ברֵרה, למי שבחר בין אפשרויות שונות הייתה בררה,סָפַר:מספָּר,מי שספר הוא מי שחישב את המספר או את הכמות של דבר מסוים,התנצל:מחילה,מי שהתנצל רצה לקבל מחילה ממישהו אחר,התגרש:נישואין,מי שהתגרש סיים באופן רשמי את הסכם הנישואין שלו עם מישהו אחר,3,1,0
WIN19,a,NITE,2,לפסק:סימני פיסוק,מי שרוצה לפסק דבר מה צריך להשתמש בסימני פיסוק,להלחין:לחן,מי שרוצה להלחין רוצה ליצור לחן.,להפחיד:פחד,מי שרוצה להפחיד רוצה לזרוע פחד בקרב אחרים,להקציף:קצף,מי שרוצה להקציף רוצה ליצור קצף מחומר כלשהו,להמליח:מלח,מי שרוצה להמליח דבר מה צריך להשתמש במלח,4,0,0
WIN19,a,NITE,3,עת:עתה,"עת היא מילה המציינת תקופה מסוימת, עתה היא התקופה שבה אנו נמצאים בהווה",זמן:מזמן,מזמן הוא לפני זמן רב,כאן:הֵנְָּה,הנה נאמר למי שמוזמן לבוא לכאן,מקום:פה,"מקום היא מילה אשר מציינת שטח מסוים, פה הוא המקום שבו אנו נמצאים בהווה",אתמול:היום,היום הוא היום שאחרי אתמול,3,0,0
WIN19,a,NITE,4,עלה:עלווה,עלווה היא כלל העלים המכסים עץ או שיח מסוים,דקה:שעה,שעה מורכבת ממספר מוגדר של דקות,פסגה:רכס,"רכס הוא קבוצת הרים, פסגה היא החלק העליון בכל הר",תושב:אוכלוסייה,אוכלוסייה היא כלל התושב (ים) במקום מסוים,סולן:מקהלה,"מקהלה מורכבת ממספר זמרים, הסולן הוא החבר במקהלה אשר שר את החלק העיקרי של השיר",3,0,0
WIN19,a,NITE,5,זרדים:לקושש,לקושש זה לאסוף זרדים,בעיות:לפתור,מי שצריך לפתור בעיות צריך למצוא להן פתרון,שיער:לסרק,מי שצריך לסרק שיער צריך להעביר בו מסרק על מנת שיהיה מסודר,אנשים:לגייס,לגייס זה לאסוף אנשים,סוכר:לבזוק,לבזוק זה לפזר סוכר על מאכל כלשהו,3,0,0
WIN19,a,NITE,6,דקיק:עבה,"דקיק הוא דבר דק מאוד, עבה הוא ההפך מדק",מריר:מתוק,"מריר הוא מה שטעמו מעט מר, מתוק הוא מה שטעמו כסוכר",לוהט:קר,"לוהט הוא דבר חם מאוד, קר הוא ההפך מחם",זעיר:עצום,"זעיר הוא דבר קטן מאוד, עצום דבר הוא גדול מאוד",חריג:רגיל,חריג הוא מה שאינו רגיל,2,0,0
WIN19,b,NITE,1,זניח:להביא בחשבון,זניח הוא דבר שאין צורך להביא בחשבון,ברור:להסביר,ברור הוא דבר שאין צורך להסביר,שביר:לשבור,שביר הוא דבר שקל לשבור,כבוי:לדעוך,"כבוי הוא דבר שסיים לדעוך, שאינו דולק עוד",אמין:להאמין,"אמין הוא מי שניתן להאמין לו, שניתן לסמוך עליו",1,0,1
WIN19,b,NITE,2,להגיש:טס,ניתן להגיש בעזרת טס,לארח:אורח,לארח היא הפעולה שמבצעים כאשר יש אורח,לקמט:קמט,ניתן לקמט דבר וליצור בו קמט,לגהץ:מגהץ,ניתן לגהץ בעזרת מגהץ,לעשב:עשב,לעשב היא הפעולה שבה מוציאים עשב מהאדמה,3,0,0
WIN19,b,NITE,3,מתפכח:מבוסם,מתפכח הוא מי שמפסיק להיות מבוסם,מתפלג:מאוחד,מתפלג הוא מי שמפסיק להיות מאוחד,מתעכב:מגיע,מתעכב הוא מי שמגיע למקום מסוים מאוחר מהצפוי,משתתק:מהסה,"משתתק הוא מי שמפסיק לדבר, מהסה הוא מי שגורם לאדם אחר להפסיק לדבר",מתרושש:עני,מתרושש הוא מי שהופך לעני,1,0,0
WIN19,b,NITE,4,מסגרת:עדשות,מסגרת היא מבנה חיצוני אשר נועד להחזיק את עדשות המשקפיים,אדנית:זרעים,אדנית היא מכל לגידול צמחים שבו ניתן לשתול זרעים,פסנתר:קלידים,פסנתר הוא כלי נגינה בעל קלידים,כריכה:דפים,כריכה היא מבנה חיצוני אשר נועד להחזיק את הדפים בספר,ארון:בגדים,ארון הוא רהיט אחסון לבגדים,3,0,0
WIN19,b,NITE,5,הִקשה:נשאל,"הקשה הוא מי ששאל שאלה אדם אחר, כלומר גרם לכך שאותו אדם נשאל",עמד לדין:נאשם,"עמד לדין הוא מי שהתבצע נגדו הליך משפטי, כלומר הוא נאשם בדבר מה",עמד מנגד:התערב,עמד מנגד הוא מי שלא התערב,עמד לימינו:נתמך,"עמד לימינו הוא מי שתמך באדם אחר, כלומר גרם לכך שאותו אדם נתמך",עמד מלכת:עצר,עמד מלכת הוא מה שעצר,3,0,1
WIN19,b,NITE,6,לחלופין:חלופה,לחלופין היא מילה המציינת כי קיימת חלופה,מאידך:חיזוק,"מאידך היא מילה המציינת ניגוד, וחיזוק הוא הפיכת דבר לחזק יותר",מדוע:מַענה,"מדוע היא מילת שאלה, שמטרתה היא לקבל מענה",ובלבד:תנאי,ובלבד היא מילה המציינת כי קיים תנאי,ניחא:הסכמה,ניחא היא מילה המשמשת להבעת הסכמה,3,0,0
FA19,a,NITE,1,ענן גשם:ממטרה    ,ענן גשם הוא אמצעי טבעי וממטרה היא אמצעי מלאכותי להשגת מטרה זהה,אוזן:רמקול,באמצעות אוזן ניתן להקשיב למה שמשמיע הרמקול,שיער:פאה,שיער הוא אמצעי טבעי ופאה הוא אמצעי מלאכותי להשגת מטרה זהה,כף יד:כפפה,ניתן לכסות כף יד באמצעות כפפה,רגל:דוושה,באמצעות רגל ניתן ללחוץ על הדוושה,2,0,0
FA19,a,NITE,2,נבוב:תוכן,נבוב הוא דבר שאין בו תוכן,זול:מחיר,זול הוא דבר שמחירו נמוך,חף מפשע:אשמה,חף מפשע הוא מי שאין בו אשמה,שובה לב:סלידה,שובה לב הוא דבר שאינו מעורר סלידה,מרווה:צימאון,מרווה הוא דבר ששובר את הצמא,2,0,1
FA19,a,NITE,3,הקיץ:ער, מי שהקיץ הפך להיות ער,נעלב:בוכה,מי שנעלב עלול להגיע למצב שבו הוא בוכה,המריא:טס,מי שהמריא הפך להיות טס,הפשיר:מתאדה,"הפשיר הוא מה ששינה את מצב הצבירה שלו לנוזל, ומתאדה הוא מה ששינה את מצב הצבירה שלו מנוזל לגז",נטף:זב,נטף היא מילה נרדפת לזב,2,0,0
FA19,a,NITE,4,צחנה:ריח,צחנה היא ריח רע,צחיחות:יובש,צחיחות הינה יובש מוחלט,כניעה:הפסד,כניעה היא הודאה בהפסד,טעות:שיבוש,טעות עלולה לגרום לשיבוש מסוים,גזֵרה:תקנה,גזרה היא תקנה רעה,4,1,0
FA19,a,NITE,5,אשפה:יורים,אשפה היא כלי לאחסון חצים שאותם יורים,קולב:לובשים,קולב הוא כלי לאחסון בגדים שאותם לובשים,מגל:טוחנים,מגל הוא כלי עבודה שבאצמעותו טוחנים,מחסן:מאחסנים,מחסן הוא מקום שבתוכו מאחסנים,מפה:סועדים,מפה מכסה את השולחן שמשמש את הסועדים,1,0,0
FA19,a,NITE,6,כיזב:שקר,כיזב הוא מי שאמר שקר,הכביר מילים:דיבור,הכביר מילים הוא מי שהרבה בדיבור,המתיק סוד:לחש,המתיק סוג הוא מי שלחש סוד,הלין:קובלנה,הלין הוא מי שאמר קובלנה,צידד:עמדה,צידד הוא מי שנקט בעמדה,3,0,1
FA19,b,NITE,1,עקבות:צעידה ,עקבות הן תוצר לוואי של צעידה,טקסט:כתיבה,טקסט הוא התוצר העיקרי של כתיבה,אפר:בעירה,אפר הוא תוצר לוואי של בעירה,שלכת:נשירה,שלכת היא נשירה של עלים,תווים:נגינה,תווים מסמנים את הצלילים שמופקים בעת נגינה,2,0,0
FA19,b,NITE,2,מציע:מיטה,מי שמציע מיטה מסדר אותה לשינה,מטליא:בגד,מי שמטליא (מתקן קרע) בגד מתקן אותו,מטאטא:רצפה,מי שמטאטא רצפה מנקה אותה,עורך:שולחן,מי שעורך שולחן מסדר אותו לארוחה,מאחסן:ארון,מי שמאחסן חפצים יכול לאחסן אותם בארון,3,0,0
FA19,b,NITE,3,שָׁבַר:שביר,שביר הא מה שייתכן שמישהו שבר,טָעַם:טעים,טעים הוא מה שהטעם שלו טוב,קָלַט:קליט,קליט הוא מה שייתכן שמישהו הקליט,חָרַג:חריג,חריג הוא מה שחרג מהמקובל,דָלַק:דליק,דליק הוא מה שנדלק בקלות וכתוצאה מכך דלק,2,1,0
FA19,b,NITE,4,להטריח:טרחה,להטריח פירושו לגרום למישהו טרחה,לאתר:מקום,לאתר פירושו למצוא את המקום של מישהו או משהו,לבאר:פירוש,לבאר פירושו לתת פירוש,לסקרן:עניין,לסקרן פירושו לגרום למישהו עניין,להצחיק:הלצה,ניתן להצחיק על ידי אמירת הלצה,3,0,0
FA19,b,NITE,5,ודאי!:מהסס,קריאת ודאי! נאמרת על ידי מי שלא מהסס,הס!:מדבר,קריאת הס! נאמרת על ידי מי שמעוניין להסות מישהו שמדבר,כך!:מדגים,קריאת כך! נאמרת על ידי מי שמדגים,די!:מפסיק,קריאת די! נאמרת למי שלא מפסיק פעולה מסויימת,לא!:מסכים,קריאת לא! נאמרת על ידי מי שלא מסכים,4,0,0
FA19,b,NITE,6,אבוס:שוקת,אבוס הוא מתקן המשמש בעלי חיים לאכילה ושוקת היא כלי המשמש אותם לשתייה,קלשון:מזלג,קלשון הוא כלי המשמש ל הרמת חציר ומזלג הוא כלי המשמש לשתייה,מזלג:קשית,מזלג הוא כלי המשמש לאכילה וקשית היא כלי המשמש לשתייה,קנקן:כוס,קנקן הוא כלי המשמש להגשת משקאות וכוס היא כלי המשמש לשתייה,כוס:ספל,כוס היא כלי המשמש לשתייה וספל הוא כלי המשמש לשתייה,2,0,0
SU19,a,NITE,1,כל כולו:כולו ,משמעות הצירוף כל כולו היא כולו באופן מוחלט,לא ולא:לא,משמעות הצירוף לא ולא היא לא באופן מוחלט,זמן-מה:זמן,מה שנמשך זמן מה נמשך זמן מסוים,דרך לא דרך:דרך,דרך לא דרך היא דרך משובשת,צל של ספק:ספק,מי שיש לו צל  של ספק מרגיש מעט ספק בנוגע לדבר מה,1,0,1
SU19,a,NITE,2,לוח מודעות:מודעות,ייעודו של לוח מודעות הוא שיתלו עליו מודעות,שולחן:מפה,על שולחן ניתן לפרוש מפה,תורן:דגל,ייעודו של תורן הוא שיתלו עליו דגל,סיר:נזיד,בסיר ניתן לבשל נזיד,דלת:מפתח,דלת ניתן לנעול באמצעות מפתח,2,0,1
SU19,a,NITE,3,חָרש:זָרע,מי שחרש ביצע פעולת הכנה לפעולה שניצע כאשר זרע,הבעיר:כיבה,מי שהבעיר עשה פעולה הפוכה למי שכיבה,דָּרַךְ:ירה,מי שדרך ביצע פעולת הכנה לפעולה שביצע מי שירה,נחלש:נרפּה,מי שנחלש הוא מי שנרפה,קטף:בצר,מי שקטף ענבים הוא מי שבצר,2,1,0
SU19,a,NITE,4,להשתפר:שלמות,כדי להגיע לשלמות יש להשתפר באופן מקסימלי,לִפנות:כיוון,כדי לשנות כיוון יש לפנות,להגביה:גובה,כדי להעלות את הגובה של דבר מה יש להגביה אותן,לרדת:תחתית,כדי להגיע לתחתית יש לרדת,לצאת:חוץ,כדי להגיע אל החוץ יש לצאת,3,1,0
SU19,a,NITE,5,מגבת:רטוב,מגבת הופכת דבר מה להיפך מרטוב,מעיל:קר,מעיל עוזר להתגונן כאשר קר,חיסון:חולה,חיסון מונע ממישהו להיעשות חולה,משקפת:רחוק,משקפת עוזרת למישהו לראות רחוק,משחזה:קהה,משחזה הופכת דבר מה להיפך מקהה,4,0,0
SU19,a,NITE,6,תה:זרבובית,הזרבובית היא החלק בכלי מזיגה שדרכו מועבר התה,תסכית:רמקול,הרמקול הוא החלק במכשיר שדרכו מועבר התסכית,קור:מזגן,המזגן הוא מכשיר חשמלי המשמש לוויסות החום או הקור בחלל סגור,מלח:מלחייה,מלחייה משמשת לאחסון מלח,דיו:קולמוס,קולמוס הוא כלי המשמש לכתיבה בדיו,1,0,0
SU19,b,NITE,1,הדרים:אשכולית ,הדרים היא סוג של פרי מקבוצת ההדרים,עמקים:רכס,רכס היא שרשרת הרים העשויה להיות תחומה על ידי עמקים,חולצות:מכנסיים,מכנסיים וחולצות הם סוגים שונים של פריטי לבוש,בהמות:סוס,סוס הוא סוג של חיה מקבוצת הבהמות,אגמים:שלולית,אגמים הם מקווי מים גדולים ושלולית היא מקווה מים קטן,3,0,0
SU19,b,NITE,2,מִבטא:מוצָא,מבטא מצביע על המוצא של מישהו,עיר בירה:מדינה,עיר בירה היא העיר הראשית של מדינה,כינוי:שֵׁם,כינוי הוא שם מומצא,הבעת פנים:רגש,הבעת פנים מצביעה על הרגש  של מישהו,שנה:גיל,השנה שבה אדם נולד קובעת את הגיל שלו,3,1,1
SU19,b,NITE,3,עמד בדיבורו:הבטיח,מי שעמד בדיבורו קיים את מה שהבטיח,נעתר לתחינתו:ביקש,"מי שנעתר לתחינתו של האחר, קיים את מה שהאחר הבטיח",חזר בו:החליט,מי שחזר בו לא קיים את מה שהחליט,הגשים את חלומו:שאף,מי שהגשים את חלומו קיים את מה ששאף,העלה חרס בידו:ניסה,"העלה חרס בידו הוא מי שניסה לעשות דבר מה, אך לא הצליח",3,0,1
SU19,b,NITE,4,הקיש:הלם,מי שהלם הוא מי שהקיש בחוזקה,ניגר:נקווה,נקווה היא מה שניגר למקום מסוים ונאסף בו,זרם:שצף,שצף הוא מה שזרם בחוזקה,שטף:סחף,סחף הוא מי ששטף  דבר מה למקום אחר,שפך:ניתך,ניתך הוא מה שמישהו אחר שפך אותו,2,0,0
SU19,b,NITE,5,מקושת:קשת,מקושת הוא מה שיש לו צורה של קשת,מלבני:מלבן,מלבני הוא מה שיש לו צורה של מלבן,מקווקו:קו,מקווקו הוא מה שמורכב מקו לא רציף,מרכזי:מרכז,מרכזי הוא מה שנמצא במרכז,מנומר:נמר,מנומר הוא מה שמכוסה בכתמים כמו פרוותו של הנמר,1,0,0
SU19,b,NITE,6,השׂתרר:שָׂרַר,שרר הוא מי שהתמיד בפעולה זו לאחר שהשתרר במקום מסוים,התהלך:הלך,מי שהלך לאט בלי מטרה מסוימת הוא מי שהתהלך,נשבר:שבר,מי ששבר גרם לכך שמשהו נשבר,התנשם:נשם,מי שנשם בכבדות הוא מי שהתנשם,נעמד:עמד,עמד הוא מי שהתמיד בפעולה זו לאחר שנעמד במקום מסוים,4,1,0
SP19,a,NITE,1,מושלם:פגם ,בדבר מושלם אין פגם,תתרן:אף,תתרן הוא אדם שהאף שלו אינו מתפקד כראוי (אינו מסוגל להריח),חמוץ:סוכר,דבר חמוץ הוא דבר שטעמו אינו כטעם סוכר,עקור:שורשים,מה שעקור הוצא עם השורשים שלו מתוך  האדמה,ריק:תוכן,בדבר ריק אין תוכן,4,0,0
SP19,a,NITE,2,לשכנע:לטעון  ,כדי לשכנע מישהו צריך לטעון היטב,להציג:להסתיר,להציג הוא ההפך מלהסתיר,להסמיק:להביך,כדי לגרום למישהו אחר להסמיק ניתן להביך אותו,לקלוע:לזרוק,כדי לקלוע צריך לזרוק היטב,לשאול:לענות,לשאול היא פעולה הנעשית כדי לגרום למישהו אחר לענות,3,0,0
SP19,a,NITE,3,הסתפק:מספיק  ,מי שהסתפק קבע שדבר מה מספיק עבורו,הרצין:רציני,מי שהרצין הפך לרציני,הגזים:מוגזם,מי שהגזים הגיב באופן מוגזם,העדיף:עדיף,מי שהעדיף קבע שדבר מה עדיף עבורו,הבטיח:מובטח,מי שהבטיח  הפך משהו אחר למובטח,4,0,0
SP19,a,NITE,4,כמוסה:מזרק ,מזרק וכמוסה הם שני חפצים שונים המשמשים לביצוע אותה הפעולה (הכנסת תרופה לגוף),דף:ספר,ספר מורכב מדפים (דף) רבים,פטיש:מסור,מסור הוא כלי שנועד לביצוע פעולה אחת (ניסור) ופטיש הוא כלי שנועד לביצוע פעולה אחרת (נעיצת מסמרים),פתח:אשנב,אשנב הוא סוג של פתח,גפרור:מצית  ,גפרור ומצית הם שני חפצים שונים לביצוע אותה הפעולה (להבעיר אש),4,0,0
SP19,a,NITE,5,תו:סימפוניה ,תו הוא היחידה הבודדת הקטנה ביותר בסימפוניה,ספרה:מתמטיקה,"ספרה היא היחידה שממנה מרכיבים מספר, שבו משתמשים במתמטיקה",ספרה:מספר,ספרה היא היחידה שממנה מרכיבים מספר,אות:ניקוד,"אות היא חלק ממילה, ולצורך קריאתה ניתן להיעזר בניקוד",אות:רומן,אות היא היחידה הבודדת הקטנה ביותר מרומן,4,0,0
SP19,a,NITE,6,התגושש:התגוששות ,מי שהתגושש השתתף בהתגוששות עם מישהו אחר,חיתן:חתונה,מי שחיתן ניהל חתונה של שני אנשים אחרים,התייעץ:ייעוץ,מי שהתייעץ  פנה למישהו אחר כדי לקבל ייעוץ,נפגש:מפגש,מי שנפגש השתתף במפגש עם מישהו אחר,רדף:מרדף,"מי שרדף ביצע מרדף אחר מישהו אחר, שנרדף",3,0,0
SP19,b,NITE,1,למחול:בלתי נסלח ,דבר בלתי נסלח הוא דבר שלא ניתן למחול עליו,לגבור:בלתי מנוצח,דבר בלתי מנוצח הוא דבר שאי אפשר לגבור עליו,לבחור:בלתי ראוי,דבר בלתי ראוי הוא דבר שלא רבים ירצו לבחור בו,לנחש:בלתי ידוע,דבר בלתי ידוע הוא דבר שלא ניתן לנחש הרבה על אודותיו,לקרות:בלתי נמנע,דבר בלתי נמנע הוא דבר שחייב לקרות,1,0,1
SP19,b,NITE,2,חיריק:נקודה  ,חיריק הוא נקודה (בצורתו) בעל שימוש מסוים (ניקוד),תרמיל:צידה,בתרמיל נושאים צידה,בצק:מאפה,בצק הוא החומר שממנו מכינים מאפה,היכל:יציע,החלקו העליון של ההיכל נמצע יציע,תורן:מוט,תורן הוא מוט בעל שימוש מסוים (תליית דגלים),4,0,0
SP19,b,NITE,3,אנשים:להקהיל  ,להקהיל היא פעולת איסוף אנשים,זרדים:לקושש,לקושש היא פעולת איסוף זרדים,פירות:לסחוט,לסחוט היא פעולת מיצוי פירות (הוצאת המיץ מן הפירות),צמות:לקלוע,לקלוע היא פעולת יצירת צמות,מים:להשקות,להשקות היא פעולת מתן מים למישהו/משהו,1,0,0
SP19,b,NITE,4,רַצָּף:טאטא,טאטא הוא מי שניקה את הרצפה שיצר את הרצף,ספר:חפף,חפף הוא מי שניקה את השיער שאותו סיפר הספר,חייט:כיבס,כיבס הוא מי שניקה את הבגד שיצר החייט,טבח:הדיח,הדיח הוא מי שניקה את הכלים שבהם הוגשו המאכלים שבישל הטבח,חובש:חיטא,"חיטא הוא מי שניקה את הפצע מחיידקים, פעולה הנעשית לרוב על ידי חובש",2,1,0
SP19,b,NITE,5,הלחיץ:הזיע ,הלחיץ הוא מי שגרם לאדם אחר להילחץ וכתוצאה מכך הוא הזיע (ההזעה היא תוצר לוואי של הלחץ),הסתנוור:מצמץ,מי שהסתנוור מצמץ בעצמו,הצחיק:צחק,"מישהו הצחיק אותו, ולכן הוא צחק",הרגיז:כעס,"מישהו הרגיז אותו, ולכן הוא כעס",שעמם:פיהק,שעמם הוא מי שגרם לאדם אחר להשתעמם וכתוצאה מכך הוא פיהק (הפיהוק הוא תוצר לוואי של השיעמום),4,0,0
SP19,b,NITE,6,רם:גובה ,דבר רם הוא בגובה רב,מעניין:עניין,דבר מעניין הוא דבר שמעורר עניין רב בקרב מישהו אחר,יכול:יכולת,יכול הוא מי שיש לו יכולת לעשות דבר מה,טעים:טעם,טעים הוא מה שמאופיין בטעם טוב,ממושך:מֶשך,דבר ממושך מאופיין במשך רב,4,1,0
17-Dec,a,NITE,1,בריכת שחייה:אגם,"בריכת שחייה היא מאגר מים מלאכותי‪ ,‬ואילו אגם הוא מאגר מים טבעי‪.‬‬",מדשאה:אחו,"מדשאה היא אזור מלאכותי המכוסה בדשא‪ ,‬ואילו אחו הוא אזור טבעי המכוסה בעשב‪.‬‬",מדרגות:מעלית,הן באמצעות מעלית (אמצעי חשמלי) והן באמצעות מדרגות (אמצעי לא חשמלי) ניתן לעבור בין קומות או בין מפלסים,רחוב:סמטה,סמטה היא רחוב צדדי וצר‪ ,עץ:פרדס,פרדס הוא אזור שבו מגדלים עצים,1,0,0
17-Dec,a,NITE,2,לאפות:מאפייה,מאפייה היא מקום שהפעולה שנעשית בו היא לאפות,לקרוא:מקראה,מקראה (מכשיר אשר מגדיל טקסט ומאפשר קריאה) מסייעת לקרוא,לחלות:מרפאה,במרפאה ניתן לטפל באדם שחלה (לחלות),לבנות:בניין,לבנות פירושו להקים בניין,לנחות:מנחת,מנחת הוא מקום שהפעולה שנעשית בו היא לנחות,4,0,0
17-Dec,a,NITE,3,קדנציה:זמן,קדנציה (תקופת כהונה מוגדרת) נמדדת בזמן,תקציב:כסף,תקציב (סכום שמוקצב למטרה מסוימת) נמדד בכסף,משקל:כמות,"משקל הוא מערכת של יחידות, ובאמצעותו ניתן לאמוד כמות",שווי:ערך,שווי וערך הן מילים נרדפות,חוק:סדר,"חוק הוא הוראה רשמית מחייבת, והוא נועד לשמור על סדר (במדינה למשל)",1,0,0
17-Dec,a,NITE,4,שאר בשר:אח,אח הוא סוג של שאר בשר (קרוב משפחה),מסמך:סעיף,סעיף הוא חלק מתוך מסמך,משטר:דמוקרטיה,דמוקרטיה היא סוג של משטר,שפה:מילה,"שפה מורכבת, בין היתר, ממילים",יבשת:מדינה,"יבשת היא שטח יבשה גדול, ובתוכה, לרוב, יש מדינה",2,0,0
17-Dec,a,NITE,5,מצוֹדֵד:להימשך,"אם דבר מה הוא מצודד (שובה לב, מושך), קל להימשך אליו",מעודֵד:לתמוך,מעודד הוא מי שבכוונתו לתמוך באחר,מוצדק:להצטדק,להצטדק פירושו להעמיד פנים שדבר מה הוא מוצדק,מקומם:להתמרמר,"אם דבר מה הוא מקומם, קל להתמרמר עליו",מחוסן:להידבק,"אם דבר מה מחוסן, קטן הסיכוי שלו להידבק",3,1,0
17-Dec,a,NITE,6,לכייל:למדוד,מוטב לכייל (לכוון מכשיר מדידה כך שמדידותיו יהיו מדויקות יותר) דבר מה לפני שמתחילים למדוד באמצעותו,לשפשף:ללטש,"כדי ללטש דבר מה, יש לשפשף אותו",להשחיז:לחתוך,מוטב להשחיז (להפוך כלי חיתוך חד יותר) דבר מה לפני שמתחילים לחתוך באמצעותו,לרתך:לחבר,לרתך פירושו לחבר בין חלקי מתכת על ידי חימום,לכתוב:לשכתב,לשכתב פירושו לכתוב מחדש,2,0,0
17-Dec,b,NITE,1,קבוע:ארעי,קבוע וארעי (זמני) הן מילים שמשמעותן הפוכה,מסעיר:אדיש,"אדיש הוא מי שלא אכפת לו מדבר מה, כלומר שדבר מה אינו מסעיר אותו",מקופח:הוגן,מי שמרגיש מקופח סבור שנהגו כלפיו באופן שאינו הוגן,חשוך:אפלולי,אפלולי הוא חשוך במידה מסוימת,חשאי:פומבי,חשאי ופומבי (גלוי לכל) הן מילים שמשמעותן הפוכה,4,0,0
17-Dec,b,NITE,2,ענן:מעונן,כאשר מעונן פירוש הדבר שהשמיים מכוסים ענן(עננים),נמש:מנומש,כאשר אדם מנומש פירוש הדבר שהוא מכוסה נמש(נמשים,נימוק:מנומק,מנומק הוא מה שניתן לו נימוק הגיוני,נמר:מנומר,גופו של הנמר מנומר,ניקוד:מנוקד,מנוקד הוא מה שהוסיפו לו סימני ניקוד,1,0,0
